RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
61639,10025,New York,NY,New York-Newark-Jersey City,New York County,1,2930,2952,2926,2904,2866,2828,2799,2791,2797,2823,2843,2858,2882,2909,2914,2943,2962,2980,2995,3014,3017,3045,3083,3124,3161,3157,3184,3234,3241,3231,3226,3226,3236,3248,3270,3267,3272,3282,3301,3324,3333,3338,3340,3323,3316,3318,3348,3367,3432,3459,3504,3523,3566,3576,3595,3610,3620,3655,3685,3673,3694,3655,3658,3681,3656,3616,3573,3555,3596,3678,3738,3753,3762,3749,3759,3794,3771,3761,3735,3754,3741,3784,3774,3783,3787,3749,3727,3769,3727,3671,3591,3556,3545,3519,3545,3570,3609,3640,3638,3612,3509,3474,3467,3484,3523,3573,3622,3664,3698,3704,3692,3715,3676
61637,10023,New York,NY,New York-Newark-Jersey City,New York County,3,2797,2811,2813,2784,2736,2675,2667,2680,2692,2707,2719,2738,2759,2769,2786,2821,2841,2869,2888,2904,2909,2932,2958,2972,2967,2966,2984,2994,3007,3013,2991,2996,3010,3049,3070,3078,3096,3093,3119,3127,3135,3138,3136,3131,3118,3122,3117,3117,3170,3252,3325,3368,3413,3424,3425,3446,3469,3508,3560,3596,3652,3639,3630,3625,3582,3537,3498,3475,3467,3503,3546,3546,3520,3525,3527,3514,3490,3488,3510,3554,3561,3590,3587,3626,3651,3671,3667,3647,3609,3602,3580,3573,3556,3500,3508,3507,3533,3567,3579,3584,3515,3484,3457,3449,3459,3479,3491,3510,3521,3574,3608,3561,
61616,10002,New York,NY,New York-Newark-Jersey City,New York County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083,3108,3111,3140,3143,3167,3190,3269,3344,3417,3452,3508,3563,3599,3596,3567,3578,3601,3626,3659,3584,3579,3609,3587,3564,3548,3567,3589,3644,3652,3618,3588,3594,3586,3543,3513,3518,3570,3633,3624,3661,3652,3637,3615,3586,3592,3617,3560,3488,3474,3487,3427,3402,3399,3407,3461,3504,3494,3472,3441,3425,3408,3406,3408,3420,3432,3440,3481,3437,3485,,3538
62037,11226,New York,NY,New York-Newark-Jersey City,Kings County,11,1717,1675,1652,1625,1590,1570,1557,1549,1556,1578,1596,1600,1599,1606,1611,1607,1606,1602,1597,1606,1608,1625,1643,1660,1679,1685,1690,1689,1688,1689,1698,1711,1734,1752,1773,1791,1805,1826,1858,1879,1888,1892,1878,1869,1864,1864,1877,1882,1888,1893,1888,1881,1876,1868,1891,1912,1934,1942,1963,1983,2001,2010,2030,2046,2054,2061,2065,2064,2065,2081,2100,2109,2118,2137,2149,2153,2141,2112,2094,2058,2042,2029,2008,1993,1984,1968,1956,1956,1945,1948,1952,1950,1953,1974,2000,2011,2009,2028,2046,2042,2025,2021,2018,2023,2028,2040,2054,2063,2073,2125,2098,2127,2128
61807,10467,New York,NY,New York-Newark-Jersey City,Bronx County,12,1347,1387,1424,1460,1448,1443,1431,1425,1415,1405,1396,1379,1367,1357,1347,1333,1328,1324,1327,1331,1335,1340,1347,1348,1350,1352,1353,1352,1349,1346,1348,1355,1370,1384,1395,1405,1413,1420,1424,1421,1409,1404,1400,1397,1397,1396,1401,1404,1412,1412,1422,1434,1442,1448,1453,1458,1466,1474,1485,1495,1500,1508,1509,1520,1528,1533,1540,1555,1565,1575,1584,1594,1601,1616,1623,1636,1646,1654,1658,1662,1667,1674,1679,1683,1684,1687,1694,1707,1719,1727,1734,1743,1756,1767,1776,1783,1787,1790,1793,1796,1789,1782,1777,1774,1778,1786,1792,1803,1818,1847,1861,1860,1865
61630,10016,New York,NY,New York-Newark-Jersey City,New York County,15,2847,2867,2868,2830,2765,2692,2668,2669,2688,2709,2725,2749,2767,2781,2785,2800,2802,2815,2827,2843,2858,2887,2907,2929,2943,2960,2985,2992,3004,3008,3012,3023,3040,3046,3073,3075,3085,3088,3102,3103,3099,3096,3107,3105,3090,3101,3115,3116,3170,3233,3309,3345,3405,3430,3443,3456,3468,3513,3582,3610,3660,3644,3627,3618,3598,3570,3530,3528,3522,3607,3644,3658,3661,3658,3648,3629,3605,3592,3608,3673,3669,3691,3695,3717,3736,3747,3727,3686,3636,3641,3645,3642,3640,3573,3556,3552,3555,3586,3593,3577,3515,3504,3503,3515,3529,3540,3543,3551,3569,3614,,3538,3465
62012,11201,New York,NY,New York-Newark-Jersey City,Kings County,18,2135,2195,2225,2259,2291,2295,2280,2264,2251,2255,2267,2298,2328,2344,2356,2360,2380,2410,2452,2486,2514,2525,2539,2546,2569,2587,2615,2651,2678,2705,2727,2747,2773,2787,2801,2828,2851,2857,2855,2822,2802,2791,2773,2772,2767,2766,2755,2771,2782,2796,2811,2813,2814,2809,2805,2814,2845,2876,2914,2928,2949,2953,2953,2957,2951,2939,2951,2927,2897,2900,2881,2900,2924,2947,2953,2947,2934,2873,2848,2908,2951,2983,3029,3034,3013,3027,3000,2973,2930,2925,2914,2886,2873,2880,2873,2901,2948,2972,2943,2880,2839,2832,2842,2856,2891,2913,2942,2980,3011,2959,,3082,3086
62045,11235,New York,NY,New York-Newark-Jersey City,Kings County,19,1722,1686,1659,1640,1595,1558,1531,1525,1537,1564,1587,1601,1613,1626,1625,1620,1608,1603,1600,1601,1610,1629,1662,1689,1695,1699,1702,1699,1697,1690,1694,1715,1743,1770,1790,1792,1779,1785,1793,1800,1803,1805,1797,1803,1795,1791,1798,1822,1831,1848,1853,1869,1887,1894,1927,1968,1995,1995,2024,2056,2092,2120,2124,2123,2092,2098,2085,2089,2080,2100,2112,2131,2146,2166,2181,2189,2197,2186,2169,2136,2127,2114,2115,2115,2107,2101,2091,2097,2093,2081,2092,2101,2116,2123,2107,2108,2094,2080,2075,2097,2112,2111,2109,2115,2126,2134,2139,2148,2158,2181,2192,2174,2156
62087,11375,New York,NY,New York-Newark-Jersey City,Queens County,20,1481,1512,1523,1529,1533,1536,1534,1533,1534,1540,1550,1554,1560,1565,1571,1579,1589,1598,1608,1614,1618,1631,1636,1638,1636,1634,1635,1642,1650,1655,1668,1672,1682,1697,1716,1740,1766,1787,1797,1818,1828,1833,1838,1839,1839,1838,1847,1861,1868,1883,1889,1884,1887,1896,1917,1931,1947,1973,2003,2036,2060,2079,2084,2099,2097,2085,2063,2059,2061,2076,2090,2106,2115,2120,2119,2125,2118,2106,2097,2069,2037,2012,1997,1986,1978,1974,1974,1974,1969,1964,1962,1967,1969,1974,1975,1980,1985,1988,1984,1983,2008,2011,2007,2002,1997,1994,1994,1997,1999,1992,1992,1957,1986
61643,10029,New York,NY,New York-Newark-Jersey City,New York County,24,,,,,,,,,,,,,,,,,2479,2448,2442,2442,2435,2456,2486,2542,2592,2605,2609,2612,2620,2631,2637,2621,2611,2594,2619,2620,2616,2617,2638,2668,2673,2675,2699,2757,2752,2774,2777,2771,2792,2821,2791,2763,2773,2772,2743,2696,2712,2744,2774,2838,2914,2988,3027,2983,2938,2925,2898,2874,2860,2864,2908,2954,2963,2975,3037,2998,2997,,,3282,3209,3214,3186,3123,3039,2979,2947,2892,2819,2743,2704,2692,2718,2753,2757,2771,2790,2793,2789,2789,2767,2761,2758,2764,2785,2817,2846,2891,2934,2903,2848,2772,2791
61623,10009,New York,NY,New York-Newark-Jersey City,New York County,25,3062,3052,3014,2980,2918,2873,2839,2841,2884,2932,2950,2968,2995,3019,3020,3028,3023,3050,3056,3069,3078,3093,3099,3133,3172,3197,3216,3240,3229,3214,3207,3216,3230,3245,3235,3226,3231,3245,3253,3270,3276,3279,3298,3298,3297,3322,3356,3377,,3547,3621,3679,3725,3758,3757,3726,3776,3810,3825,3833,3834,3777,3750,3740,3705,3693,3650,3641,3703,3771,3793,3771,3728,3730,3704,3680,3690,3704,3747,3818,3816,3869,3904,3882,3849,3814,3808,3787,3680,3598,3574,3595,3604,3615,3624,3624,3625,3647,3658,3671,3740,3744,3721,3702,3698,3716,3735,3754,3787,3753,3798,3851,3844
61625,10011,New York,NY,New York-Newark-Jersey City,New York County,29,2783,2781,2764,2717,2666,2604,2580,2577,2583,2596,2601,2616,2634,2656,2690,2712,2741,2771,2815,2851,2870,2908,2940,2984,3000,3005,3000,3025,3022,3030,3033,3018,3023,3048,3052,3064,3105,3123,3143,3160,3186,3199,3208,3181,3178,3193,3215,3249,3308,,3525,3614,3663,3689,3716,3729,3747,3769,3852,3958,4025,4058,4025,4027,3959,3882,3845,3815,3850,3919,3891,3854,3831,3849,3839,3822,3824,3856,3910,3977,3967,3953,3886,3862,3844,3826,3803,3803,3738,3688,3690,3689,3720,3728,3746,3716,3756,3800,3818,3825,3787,3772,3754,3753,3752,3770,3788,3800,3805,3747,,,
61703,10128,New York,NY,New York-Newark-Jersey City,New York County,31,2518,2498,2463,2395,2339,2294,2318,2353,2399,2437,2473,2508,2515,2540,2554,2571,2565,2564,2565,2555,2543,2555,2570,2609,2626,2651,2662,2648,2646,2645,2652,2651,2650,2657,2682,2717,2740,2732,2730,2742,2739,2737,2746,2756,2718,2718,2733,2719,,,2986,2985,3016,3023,2991,2988,3020,3049,3098,,3276,3322,3372,3353,3283,3244,3195,3181,3166,3179,3232,3237,3237,3259,3276,3245,3261,3332,3406,3452,3373,3385,3342,3301,3256,,3093,3012,2931,,2805,2801,2788,2777,2766,2760,2769,2802,2820,2841,2919,2935,2926,2911,2913,2910,2931,2966,2988,,,2881,2896
61703,10128,New York,NY,New York-Newark-Jersey City,New York County,31,2518,2498,2463,2395,2339,2294,2318,2353,2399,2437,2473,2508,2515,2540,2554,2571,2565,2564,2565,2555,2543,2555,2570,2609,2626,2651,2662,2648,2646,2645,2652,2651,2650,2657,2682,2717,2740,2732,2730,2742,2739,2737,2746,2756,2718,2718,2733,2719,,,2986,2985,3016,3023,2991,2988,3020,3049,3098,,3276,3322,3372,3353,3283,3244,3195,3181,3166,3179,3232,3237,3237,3259,3276,3245,3261,3332,3406,3452,3373,3385,3342,3301,3256,,3093,3012,2931,,2805,2801,2788,2777,2766,2760,2769,2802,2820,2841,2919,2935,2926,2911,2913,2910,2931,2966,2988,,,2881,2896
