RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
102001,United States,0,1340,1347,1354,1362,1369,1376,1383,1390,1397,1404,1410,1417,1423,1429,1434,1440,1445,1451,1457,1462,1468,1473,1478,1484,1489,1494,1498,1503,1508,1512,1517,1521,1525,1529,1533,1537,1541,1545,1549,1553,1556,1560,1564,1568,1572,1576,1580,1585,1589,1594,1598,1603,1608,1613,1618,1623,1628,1633,1638,1643,1648,1653,1658,1663,1667,1672,1677,1681,1686,1690,1692,1694,1696,1697,1697,1698,1699,1699,1700,1703,1707,1710,1714,1718,1722,1727,1731,1736,1740
394913,"New York, NY",1,2402,2414,2426,2438,2450,2462,2473,2485,2497,2509,2520,2530,2541,2551,2561,2570,2579,2588,2597,2604,2612,2619,2625,2631,2637,2641,2646,2650,2655,2659,2663,2667,2671,2674,2678,2682,2685,2689,2693,2697,2700,2703,2706,2708,2710,2713,2715,2718,2721,2724,2727,2731,2735,2739,2744,2749,2754,2758,2764,2769,2775,2781,2787,2793,2798,2804,2810,2814,2818,2822,2820,2817,2814,2801,2787,2774,2753,2732,2711,2694,2676,2658,2642,2625,2608,2593,2577,2561,2546
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1755,1772,1788,1805,1821,1837,1853,1869,1885,1900,1914,1927,1941,1952,1964,1975,1986,1998,2009,2021,2032,2044,2056,2068,2080,2091,2102,2113,2123,2134,2144,2154,2163,2173,2182,2192,2201,2211,2220,2229,2238,2247,2255,2263,2271,2279,2287,2294,2302,2310,2318,2327,2335,2344,2352,2360,2368,2376,2384,2391,2398,2406,2413,2420,2426,2433,2440,2445,2451,2456,2458,2460,2461,2461,2460,2459,2458,2456,2455,2456,2457,2459,2461,2463,2465,2467,2470,2472,2475
394463,"Chicago, IL",3,1454,1459,1465,1471,1476,1481,1487,1492,1497,1503,1507,1512,1516,1520,1524,1528,1532,1536,1540,1545,1550,1554,1559,1564,1569,1573,1577,1581,1584,1587,1590,1593,1595,1598,1600,1603,1605,1608,1610,1612,1615,1617,1620,1622,1625,1627,1630,1632,1635,1637,1640,1643,1646,1649,1651,1655,1658,1661,1665,1668,1672,1676,1680,1683,1688,1692,1696,1699,1702,1705,1706,1707,1707,1705,1703,1701,1697,1693,1689,1686,1683,1681,1678,1676,1674,1672,1670,1668,1666
394514,"Dallas-Fort Worth, TX",4,1139,1146,1153,1161,1168,1175,1181,1188,1195,1202,1209,1215,1222,1227,1233,1238,1243,1248,1254,1259,1264,1269,1275,1280,1285,1291,1297,1302,1308,1313,1319,1324,1329,1334,1339,1344,1348,1352,1357,1361,1365,1369,1373,1377,1381,1385,1388,1392,1395,1399,1402,1406,1409,1413,1417,1421,1425,1429,1434,1438,1442,1447,1451,1456,1460,1464,1468,1471,1475,1478,1480,1481,1483,1484,1485,1486,1488,1490,1492,1498,1503,1508,1515,1521,1527,1533,1540,1546,1553
394974,"Philadelphia, PA",5,1310,1315,1319,1324,1328,1333,1337,1341,1346,1350,1354,1358,1362,1365,1368,1371,1375,1378,1382,1386,1389,1393,1397,1400,1404,1408,1411,1415,1419,1422,1426,1429,1433,1436,1439,1441,1444,1446,1448,1450,1452,1454,1456,1459,1461,1463,1467,1470,1473,1477,1481,1484,1489,1493,1498,1502,1507,1511,1515,1520,1524,1529,1533,1537,1542,1546,1550,1554,1557,1561,1563,1565,1567,1569,1570,1572,1574,1576,1578,1582,1586,1591,1595,1600,1604,1609,1614,1619,1625
394692,"Houston, TX",6,1176,1187,1198,1209,1220,1230,1241,1251,1261,1272,1279,1286,1294,1298,1302,1306,1309,1312,1315,1317,1320,1322,1323,1324,1326,1326,1327,1328,1328,1328,1328,1327,1327,1327,1326,1326,1325,1326,1326,1326,1329,1331,1334,1337,1341,1345,1349,1354,1358,1362,1366,1370,1372,1374,1376,1377,1379,1380,1382,1383,1385,1387,1389,1391,1393,1395,1398,1399,1401,1403,1403,1403,1403,1402,1401,1400,1400,1400,1400,1402,1405,1407,1410,1412,1415,1418,1421,1424,1428
395209,"Washington, DC",7,1807,1815,1823,1832,1839,1847,1855,1862,1870,1877,1883,1888,1893,1896,1899,1902,1905,1908,1912,1916,1920,1924,1927,1931,1934,1937,1940,1943,1945,1948,1950,1952,1955,1957,1961,1964,1967,1970,1973,1977,1979,1981,1983,1985,1987,1989,1991,1993,1996,2000,2003,2007,2012,2017,2022,2027,2032,2038,2043,2048,2053,2058,2063,2068,2072,2077,2082,2085,2089,2092,2092,2092,2092,2088,2084,2081,2075,2069,2064,2059,2054,2049,2045,2041,2036,2032,2029,2025,2021
394856,"Miami-Fort Lauderdale, FL",8,1531,1540,1548,1556,1565,1573,1581,1590,1598,1606,1615,1623,1631,1639,1647,1654,1662,1669,1677,1684,1692,1699,1706,1712,1719,1724,1729,1734,1738,1742,1746,1748,1751,1754,1756,1758,1760,1763,1765,1768,1770,1773,1776,1779,1782,1785,1789,1792,1796,1800,1805,1809,1813,1818,1822,1827,1831,1835,1839,1843,1847,1850,1853,1857,1861,1865,1869,1873,1877,1881,1884,1886,1889,1891,1893,1895,1897,1900,1903,1912,1922,1931,1942,1953,1963,1975,1987,1998,2011
394347,"Atlanta, GA",9,1110,1115,1120,1125,1130,1135,1140,1145,1150,1155,1161,1166,1171,1177,1182,1187,1192,1198,1203,1209,1214,1220,1226,1232,1238,1245,1251,1258,1265,1271,1278,1284,1290,1296,1301,1307,1313,1318,1324,1330,1335,1341,1346,1352,1358,1364,1370,1376,1383,1389,1396,1402,1410,1417,1424,1432,1440,1447,1454,1462,1469,1475,1482,1488,1494,1500,1505,1510,1514,1518,1521,1525,1528,1532,1536,1540,1547,1553,1559,1571,1582,1594,1606,1619,1631,1644,1657,1670,1684
394404,"Boston, MA",10,2008,2015,2022,2030,2037,2044,2051,2058,2065,2072,2078,2085,2092,2098,2104,2110,2117,2123,2130,2138,2146,2154,2161,2169,2177,2184,2192,2199,2206,2214,2221,2228,2235,2242,2248,2254,2260,2266,2271,2277,2282,2287,2292,2297,2301,2306,2311,2317,2322,2328,2333,2339,2345,2352,2358,2364,2370,2376,2382,2388,2395,2401,2408,2414,2420,2427,2434,2439,2444,2450,2450,2451,2451,2444,2437,2430,2418,2405,2393,2384,2375,2366,2358,2349,2341,2334,2326,2318,2312
395057,"San Francisco, CA",11,2121,2160,2199,2238,2276,2314,2352,2390,2427,2465,2500,2534,2569,2597,2625,2653,2676,2699,2722,2742,2761,2781,2797,2812,2828,2839,2850,2861,2868,2875,2882,2886,2891,2896,2901,2907,2912,2918,2925,2932,2939,2946,2953,2960,2967,2974,2981,2988,2995,3003,3011,3019,3029,3039,3048,3058,3067,3076,3084,3092,3101,3107,3114,3121,3128,3134,3140,3145,3149,3154,3151,3149,3146,3132,3119,3105,3083,3061,3040,3019,2998,2977,2957,2938,2918,2898,2879,2860,2842
394532,"Detroit, MI",12,1091,1094,1098,1101,1105,1108,1112,1115,1119,1122,1126,1129,1132,1135,1138,1141,1144,1147,1150,1153,1156,1159,1162,1165,1168,1172,1175,1179,1182,1185,1188,1191,1194,1197,1200,1204,1207,1211,1214,1217,1221,1225,1228,1232,1236,1240,1244,1248,1252,1256,1260,1264,1268,1271,1275,1279,1282,1286,1289,1293,1296,1300,1303,1307,1310,1313,1316,1319,1322,1325,1327,1330,1332,1336,1340,1343,1349,1355,1361,1369,1378,1386,1395,1404,1413,1422,1431,1440,1450
395025,"Riverside, CA",13,1442,1449,1457,1465,1472,1480,1488,1495,1503,1511,1518,1525,1532,1539,1546,1552,1559,1566,1573,1580,1587,1593,1600,1607,1614,1621,1627,1634,1641,1648,1655,1662,1670,1677,1685,1693,1701,1709,1717,1726,1734,1742,1750,1759,1767,1775,1784,1792,1801,1810,1819,1827,1836,1845,1853,1861,1869,1877,1884,1892,1899,1906,1913,1921,1928,1936,1943,1950,1957,1964,1971,1978,1984,1994,2004,2014,2028,2042,2057,2078,2100,2122,2145,2168,2191,2215,2239,2263,2287
394976,"Phoenix, AZ",14,963,968,973,978,983,988,993,998,1003,1008,1013,1019,1024,1029,1035,1040,1045,1051,1056,1061,1067,1072,1077,1082,1088,1093,1099,1104,1110,1116,1122,1127,1132,1137,1141,1146,1151,1155,1160,1164,1168,1172,1176,1180,1185,1190,1196,1202,1208,1215,1222,1229,1237,1246,1254,1262,1270,1279,1287,1295,1304,1312,1321,1329,1338,1348,1357,1365,1373,1382,1388,1395,1401,1408,1415,1422,1431,1440,1449,1463,1478,1492,1507,1523,1538,1554,1570,1586,1603
